id,localidad,pais,temperatura_fahrenheit,fecha_y_hora,cobertura_nubes,indice_uv,presion_atmosferica,velocidad_viento,created_at,updated_at,delta_temperatura_horaria,delta_temperatura_diaria
19,Laureles,Colombia,85.82,2024-01-05,Mínima,6.4,1018.2,0.2,2024-12-19 12:01:19,2024-12-19 12:01:19,14.399999999999999,14.399999999999999
20,Castilla,Colombia,62.24,2024-01-04,Total,4.5,1012.5,6.0,2024-12-19 12:01:19,2024-12-19 12:01:19,-16.499999999999996,-16.499999999999996
21,Castilla,Colombia,67.64,2024-01-03,Total,9.8,1017.5,10.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-7.0,-7.0
22,Laureles,Colombia,82.4,2024-01-05,Total,2.5,1001.1,4.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.8999999999999986,-1.8999999999999986
23,Castilla,Colombia,93.2,2024-01-04,Total,4.6,1010.7,7.0,2024-12-19 12:01:19,2024-12-19 12:01:19,17.2,17.2
24,Belen,Colombia,71.24000000000001,2024-01-04,Total,7.7,1021.9,2.0,2024-12-19 12:01:19,2024-12-19 12:01:19,5.100000000000001,5.100000000000001
25,El Poblado,Colombia,68.0,2024-01-05,Total,1.3,1010.2,1.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.5,-0.5
26,Aranjuez,Colombia,84.92,2024-01-04,Total,5.8,1012.5,7.2,2024-12-19 12:01:19,2024-12-19 12:01:19,11.5,11.5
27,Aranjuez,Colombia,78.62,2024-01-05,Total,2.5,1022.1,4.0,2024-12-19 12:01:19,2024-12-19 12:01:19,-6.100000000000001,-6.100000000000001
28,El Poblado,Colombia,61.7,2024-01-06,Total,0.6,1024.7,4.0,2024-12-19 12:01:19,2024-12-19 12:01:19,-17.5,-17.5
29,Buenos Aires,Colombia,74.48,2024-01-01,Parcial,3.1,1020.9,7.3,2024-12-19 12:01:19,2024-12-19 12:01:19,2.200000000000003,2.200000000000003
30,El Poblado,Colombia,81.14,2024-01-05,Parcial,3.4,1010.0,9.1,2024-12-19 12:01:19,2024-12-19 12:01:19,7.300000000000001,7.300000000000001
31,El Poblado,Colombia,84.92,2024-01-02,Mínima,5.3,1013.6,4.5,2024-12-19 12:01:19,2024-12-19 12:01:19,10.399999999999999,10.399999999999999
32,Aranjuez,Colombia,65.48,2024-01-04,Total,3.5,1010.9,0.0,2024-12-19 12:01:19,2024-12-19 12:01:19,-10.799999999999997,-10.799999999999997
33,Aranjuez,Colombia,68.0,2024-01-07,Parcial,7.9,1013.7,5.7,2024-12-19 12:01:19,2024-12-19 12:01:19,1.5,1.5
34,Castilla,Colombia,84.38,2024-01-06,Total,6.4,1008.8,15.0,2024-12-19 12:01:19,2024-12-19 12:01:19,7.600000000000001,7.600000000000001
35,El Poblado,Colombia,75.38,2024-01-03,Total,4.4,1017.3,10.7,2024-12-19 12:01:19,2024-12-19 12:01:19,6.0,6.0
36,Aranjuez,Colombia,76.46000000000001,2024-01-06,Parcial,8.7,1020.0,5.0,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.8000000000000007,-2.8000000000000007
37,Aranjuez,Colombia,68.9,2024-01-06,Total,6.9,1013.1,3.6,2024-12-19 12:01:19,2024-12-19 12:01:19,-4.199999999999999,-4.199999999999999
38,Buenos Aires,Colombia,81.68,2024-01-06,Total,4.6,1008.5,13.4,2024-12-19 12:01:19,2024-12-19 12:01:19,1.0,1.0
39,Laureles,Colombia,70.52,2024-01-07,Total,3.6,1005.2,11.7,2024-12-19 12:01:19,2024-12-19 12:01:19,4.5,4.5
40,Robledo,Colombia,81.32,2024-01-07,Parcial,1.6,1007.8,5.7,2024-12-19 12:01:19,2024-12-19 12:01:19,9.5,9.5
41,El Poblado,Colombia,94.82,2024-01-08,Total,10.6,1010.6,10.1,2024-12-19 12:01:19,2024-12-19 12:01:19,15.7,15.7
42,Aranjuez,Colombia,68.0,2024-01-08,Total,3.0,1003.2,2.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.3999999999999986,-2.3999999999999986
43,Laureles,Colombia,73.75999999999999,2024-01-08,Total,1.8,1010.4,1.3,2024-12-19 12:01:19,2024-12-19 12:01:19,6.899999999999999,6.899999999999999
44,Buenos Aires,Colombia,62.78,2024-01-07,Total,6.4,1003.3,12.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-13.7,-13.7
45,Castilla,Colombia,64.94,2024-01-04,Total,3.9,1006.2,6.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-15.7,-15.7
46,El Poblado,Colombia,59.540000000000006,2024-01-09,Total,3.6,1024.3,12.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-12.599999999999998,-12.599999999999998
47,Robledo,Colombia,75.2,2024-01-09,Total,3.5,1023.4,13.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-5.399999999999999,-5.399999999999999
48,Laureles,Colombia,92.66,2024-01-05,Total,7.4,1003.3,11.7,2024-12-19 12:01:19,2024-12-19 12:01:19,5.700000000000003,5.700000000000003
49,Belen,Colombia,77.9,2024-01-10,Total,5.5,1007.6,1.6,2024-12-19 12:01:19,2024-12-19 12:01:19,3.0,3.0
50,Aranjuez,Colombia,65.48,2024-01-08,Total,8.0,1005.0,5.7,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.3999999999999986,-1.3999999999999986
51,Aranjuez,Colombia,62.06,2024-01-09,Total,7.4,1016.7,7.1,2024-12-19 12:01:19,2024-12-19 12:01:19,-11.100000000000001,-11.100000000000001
52,El Poblado,Colombia,59.540000000000006,2024-01-09,Total,9.0,1017.2,13.0,2024-12-19 12:01:19,2024-12-19 12:01:19,0.0,0.0
53,El Poblado,Colombia,71.06,2024-01-05,Total,9.2,1007.3,2.7,2024-12-19 12:01:19,2024-12-19 12:01:19,-5.600000000000001,-5.600000000000001
54,Aranjuez,Colombia,90.5,2024-01-11,Total,7.0,1020.8,11.0,2024-12-19 12:01:19,2024-12-19 12:01:19,5.100000000000001,5.100000000000001
55,Belen,Colombia,64.75999999999999,2024-01-06,Total,10.8,1012.3,8.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-4.5,-4.5
56,Robledo,Colombia,65.48,2024-01-07,Total,0.5,1003.6,6.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-8.799999999999997,-8.799999999999997
57,Castilla,Colombia,60.8,2024-01-06,Total,6.3,1016.2,2.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-13.100000000000001,-13.100000000000001
58,Robledo,Colombia,73.94,2024-01-10,Total,3.8,1009.2,3.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-3.3999999999999986,-3.3999999999999986
59,Belen,Colombia,93.92,2024-01-11,Total,8.4,1022.4,8.5,2024-12-19 12:01:19,2024-12-19 12:01:19,4.299999999999997,4.299999999999997
60,Belen,Colombia,94.63999999999999,2024-01-07,Total,2.2,1004.0,5.1,2024-12-19 12:01:19,2024-12-19 12:01:19,2.1999999999999957,2.1999999999999957
61,Castilla,Colombia,80.78,2024-01-12,Parcial,3.6,1020.0,8.6,2024-12-19 12:01:19,2024-12-19 12:01:19,-6.899999999999999,-6.899999999999999
62,Robledo,Colombia,87.08000000000001,2024-01-12,Total,8.1,1001.0,11.8,2024-12-19 12:01:19,2024-12-19 12:01:19,0.0,0.0
63,Buenos Aires,Colombia,80.24000000000001,2024-01-10,Total,4.5,1017.6,11.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-7.199999999999999,-7.199999999999999
64,Belen,Colombia,80.6,2024-01-10,Total,1.7,1011.9,3.5,2024-12-19 12:01:19,2024-12-19 12:01:19,1.5,1.5
65,El Poblado,Colombia,66.38,2024-01-11,Total,7.7,1022.4,9.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.5,-0.5
66,Laureles,Colombia,66.74000000000001,2024-01-13,Total,10.8,1013.6,6.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-6.300000000000001,-6.300000000000001
67,Belen,Colombia,67.1,2024-01-12,Total,7.3,1022.2,3.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-5.300000000000001,-5.300000000000001
68,Castilla,Colombia,80.96000000000001,2024-01-08,Total,10.5,1021.7,11.8,2024-12-19 12:01:19,2024-12-19 12:01:19,10.3,10.3
69,Belen,Colombia,85.82,2024-01-14,Total,2.8,1005.0,6.3,2024-12-19 12:01:19,2024-12-19 12:01:19,13.999999999999998,13.999999999999998
70,Castilla,Colombia,76.82,2024-01-15,Parcial,10.4,1000.3,5.1,2024-12-19 12:01:19,2024-12-19 12:01:19,6.199999999999999,6.199999999999999
71,El Poblado,Colombia,94.1,2024-01-13,Mínima,4.9,1013.7,2.0,2024-12-19 12:01:19,2024-12-19 12:01:19,17.8,17.8
72,Buenos Aires,Colombia,62.42,2024-01-07,Total,3.3,1020.4,0.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.20000000000000284,-0.20000000000000284
73,Castilla,Colombia,60.620000000000005,2024-01-08,Total,1.2,1014.1,7.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-11.299999999999999,-11.299999999999999
74,Aranjuez,Colombia,68.9,2024-01-16,Total,1.3,1016.3,1.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-12.100000000000001,-12.100000000000001
75,Buenos Aires,Colombia,66.92,2024-01-08,Total,0.6,1021.8,12.6,2024-12-19 12:01:19,2024-12-19 12:01:19,1.6999999999999993,1.6999999999999993
76,Belen,Colombia,69.08000000000001,2024-01-13,Total,6.7,1009.4,12.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-10.399999999999999,-10.399999999999999
77,Buenos Aires,Colombia,91.94,2024-01-09,Total,9.8,1008.3,5.1,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.2000000000000028,-1.2000000000000028
78,Belen,Colombia,70.52,2024-01-14,Total,0.5,1008.4,2.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-8.5,-8.5
79,El Poblado,Colombia,84.74000000000001,2024-01-10,Total,0.5,1001.1,13.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.5,-1.5
80,Belen,Colombia,77.53999999999999,2024-01-14,Total,7.5,1023.5,4.7,2024-12-19 12:01:19,2024-12-19 12:01:19,3.900000000000002,3.900000000000002
81,Buenos Aires,Colombia,84.2,2024-01-17,Total,9.0,1010.1,7.3,2024-12-19 12:01:19,2024-12-19 12:01:19,2.1000000000000014,2.1000000000000014
82,Laureles,Colombia,84.92,2024-01-18,Total,9.5,1009.3,5.3,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.3000000000000007,-0.3000000000000007
83,Castilla,Colombia,89.24000000000001,2024-01-15,Total,1.9,1008.7,9.0,2024-12-19 12:01:19,2024-12-19 12:01:19,6.900000000000002,6.900000000000002
84,El Poblado,Colombia,76.82,2024-01-16,Total,8.4,1024.6,1.6,2024-12-19 12:01:19,2024-12-19 12:01:19,1.5999999999999979,1.5999999999999979
85,Laureles,Colombia,73.75999999999999,2024-01-09,Total,9.3,1006.0,3.0,2024-12-19 12:01:19,2024-12-19 12:01:19,6.399999999999999,6.399999999999999
86,El Poblado,Colombia,62.78,2024-01-17,Total,2.0,1018.7,2.1,2024-12-19 12:01:19,2024-12-19 12:01:19,0.3000000000000007,0.3000000000000007
87,Aranjuez,Colombia,61.34,2024-01-10,Total,2.2,1021.3,10.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-14.399999999999999,-14.399999999999999
88,Aranjuez,Colombia,70.34,2024-01-11,Parcial,4.9,1000.8,8.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-11.2,-11.2
89,El Poblado,Colombia,80.42,2024-01-11,Parcial,7.9,1001.9,7.7,2024-12-19 12:01:19,2024-12-19 12:01:19,7.799999999999997,7.799999999999997
90,Aranjuez,Colombia,92.66,2024-01-12,Total,0.5,1022.6,13.8,2024-12-19 12:01:19,2024-12-19 12:01:19,10.300000000000004,10.300000000000004
91,El Poblado,Colombia,92.30000000000001,2024-01-15,Total,4.6,1006.0,7.7,2024-12-19 12:01:19,2024-12-19 12:01:19,4.800000000000001,4.800000000000001
92,Aranjuez,Colombia,74.30000000000001,2024-01-19,Parcial,6.2,1003.7,7.1,2024-12-19 12:01:19,2024-12-19 12:01:19,1.3999999999999986,1.3999999999999986
93,Buenos Aires,Colombia,68.0,2024-01-13,Total,7.8,1014.2,1.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-10.899999999999999,-10.899999999999999
94,Buenos Aires,Colombia,59.36,2024-01-11,Total,5.4,1006.2,10.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-3.1999999999999993,-3.1999999999999993
95,Aranjuez,Colombia,84.02,2024-01-20,Total,4.0,1023.5,6.4,2024-12-19 12:01:19,2024-12-19 12:01:19,10.599999999999998,10.599999999999998
96,Robledo,Colombia,88.52,2024-01-12,Total,6.5,1001.2,11.1,2024-12-19 12:01:19,2024-12-19 12:01:19,0.7999999999999972,0.7999999999999972
97,El Poblado,Colombia,71.42,2024-01-16,Total,7.0,1015.8,10.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-3.0,-3.0
98,Aranjuez,Colombia,78.44,2024-01-12,Parcial,5.6,1019.5,6.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-7.900000000000002,-7.900000000000002
99,Belen,Colombia,94.63999999999999,2024-01-21,Mínima,8.1,1017.5,3.6,2024-12-19 12:01:19,2024-12-19 12:01:19,14.499999999999996,14.499999999999996
100,El Poblado,Colombia,86.18,2024-01-22,Total,5.8,1013.3,13.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-4.399999999999999,-4.399999999999999
101,Castilla,Colombia,93.38,2024-01-14,Total,1.3,1018.2,11.3,2024-12-19 12:01:19,2024-12-19 12:01:19,13.8,13.8
102,Aranjuez,Colombia,82.94,2024-01-18,Total,1.6,1010.0,11.8,2024-12-19 12:01:19,2024-12-19 12:01:19,12.700000000000001,12.700000000000001
103,Laureles,Colombia,87.98,2024-01-17,Mínima,8.9,1007.7,0.0,2024-12-19 12:01:19,2024-12-19 12:01:19,2.1000000000000014,2.1000000000000014
104,Belen,Colombia,73.4,2024-01-15,Parcial,2.8,1018.1,7.6,2024-12-19 12:01:19,2024-12-19 12:01:19,1.5,1.5
105,Aranjuez,Colombia,63.86,2024-01-09,Total,6.7,1001.6,4.7,2024-12-19 12:01:19,2024-12-19 12:01:19,1.0,1.0
106,Robledo,Colombia,84.92,2024-01-18,Total,4.7,1019.5,7.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.700000000000003,-2.700000000000003
107,Aranjuez,Colombia,76.64,2024-01-13,Total,8.9,1024.5,11.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.3000000000000007,-0.3000000000000007
108,Buenos Aires,Colombia,92.66,2024-01-10,Total,1.9,1013.5,9.8,2024-12-19 12:01:19,2024-12-19 12:01:19,6.900000000000002,6.900000000000002
109,Aranjuez,Colombia,93.02,2024-01-19,Total,5.3,1010.1,14.9,2024-12-19 12:01:19,2024-12-19 12:01:19,10.399999999999999,10.399999999999999
110,Castilla,Colombia,92.30000000000001,2024-01-14,Mínima,9.5,1008.8,1.0,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.6000000000000014,-0.6000000000000014
111,Laureles,Colombia,94.28,2024-01-16,Total,5.4,1021.3,11.2,2024-12-19 12:01:19,2024-12-19 12:01:19,17.900000000000002,17.900000000000002
112,El Poblado,Colombia,77.18,2024-01-23,Parcial,1.9,1013.6,10.0,2024-12-19 12:01:19,2024-12-19 12:01:19,4.800000000000001,4.800000000000001
113,Belen,Colombia,78.08000000000001,2024-01-24,Parcial,8.2,1021.5,8.3,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.299999999999997,-2.299999999999997
114,Belen,Colombia,72.86,2024-01-13,Total,2.1,1019.2,12.5,2024-12-19 12:01:19,2024-12-19 12:01:19,2.099999999999998,2.099999999999998
115,Laureles,Colombia,84.56,2024-01-11,Total,4.1,1022.2,8.0,2024-12-19 12:01:19,2024-12-19 12:01:19,2.3000000000000007,2.3000000000000007
116,Castilla,Colombia,84.56,2024-01-15,Total,9.8,1022.7,13.1,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.6000000000000014,-2.6000000000000014
117,Castilla,Colombia,76.64,2024-01-20,Total,1.9,1011.4,12.6,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.1999999999999993,-1.1999999999999993
118,Robledo,Colombia,80.06,2024-01-17,Total,0.4,1005.5,1.2,2024-12-19 12:01:19,2024-12-19 12:01:19,10.2,10.2
119,Buenos Aires,Colombia,70.88,2024-01-19,Total,3.3,1006.8,10.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.7999999999999972,-1.7999999999999972
120,Belen,Colombia,70.88,2024-01-14,Total,8.5,1023.9,1.1,2024-12-19 12:01:19,2024-12-19 12:01:19,-3.6999999999999993,-3.6999999999999993
121,Castilla,Colombia,78.98,2024-01-20,Parcial,6.4,1007.0,8.7,2024-12-19 12:01:19,2024-12-19 12:01:19,1.3000000000000007,1.3000000000000007
122,Aranjuez,Colombia,86.53999999999999,2024-01-16,Total,5.9,1014.4,11.8,2024-12-19 12:01:19,2024-12-19 12:01:19,9.8,9.8
123,Aranjuez,Colombia,69.08000000000001,2024-01-15,Parcial,5.4,1017.5,9.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.8999999999999986,-1.8999999999999986
124,Belen,Colombia,62.24,2024-01-25,Total,2.1,1019.5,1.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.8999999999999986,-0.8999999999999986
125,El Poblado,Colombia,74.66,2024-01-17,Total,2.4,1023.8,14.9,2024-12-19 12:01:19,2024-12-19 12:01:19,6.599999999999998,6.599999999999998
126,El Poblado,Colombia,93.38,2024-01-12,Total,0.2,1011.8,7.4,2024-12-19 12:01:19,2024-12-19 12:01:19,7.0,7.0
127,Laureles,Colombia,61.7,2024-01-13,Total,1.5,1009.2,7.6,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.8000000000000007,-2.8000000000000007
128,Aranjuez,Colombia,80.42,2024-01-16,Total,4.9,1024.0,2.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-3.400000000000002,-3.400000000000002
129,Belen,Colombia,63.5,2024-01-17,Total,3.4,1016.1,7.1,2024-12-19 12:01:19,2024-12-19 12:01:19,2.1999999999999993,2.1999999999999993
130,Laureles,Colombia,79.34,2024-01-21,Total,7.7,1015.0,2.0,2024-12-19 12:01:19,2024-12-19 12:01:19,10.8,10.8
131,Belen,Colombia,79.88,2024-01-26,Parcial,6.4,1011.5,7.7,2024-12-19 12:01:19,2024-12-19 12:01:19,6.800000000000001,6.800000000000001
132,Laureles,Colombia,64.94,2024-01-14,Total,9.9,1019.7,13.3,2024-12-19 12:01:19,2024-12-19 12:01:19,-15.099999999999998,-15.099999999999998
133,Robledo,Colombia,76.28,2024-01-27,Parcial,6.4,1021.2,8.3,2024-12-19 12:01:19,2024-12-19 12:01:19,7.800000000000001,7.800000000000001
134,Belen,Colombia,79.7,2024-01-21,Total,0.5,1006.3,14.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-8.299999999999997,-8.299999999999997
135,Robledo,Colombia,63.14,2024-01-18,Total,3.9,1016.7,11.6,2024-12-19 12:01:19,2024-12-19 12:01:19,-12.099999999999998,-12.099999999999998
136,El Poblado,Colombia,88.34,2024-01-15,Total,7.8,1015.2,13.3,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.1999999999999993,-2.1999999999999993
137,Buenos Aires,Colombia,81.86,2024-01-28,Total,7.1,1008.9,12.9,2024-12-19 12:01:19,2024-12-19 12:01:19,9.8,9.8
138,Aranjuez,Colombia,75.38,2024-01-22,Total,0.8,1001.0,1.5,2024-12-19 12:01:19,2024-12-19 12:01:19,1.4000000000000021,1.4000000000000021
139,Robledo,Colombia,64.4,2024-01-29,Total,6.2,1006.7,7.3,2024-12-19 12:01:19,2024-12-19 12:01:19,-3.3000000000000007,-3.3000000000000007
140,Belen,Colombia,81.68,2024-01-23,Total,6.0,1015.6,11.8,2024-12-19 12:01:19,2024-12-19 12:01:19,6.600000000000001,6.600000000000001
141,Robledo,Colombia,72.32,2024-01-18,Total,7.1,1015.4,12.5,2024-12-19 12:01:19,2024-12-19 12:01:19,5.099999999999998,5.099999999999998
142,Robledo,Colombia,67.1,2024-01-24,Total,6.6,1020.8,1.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-4.0,-4.0
143,Robledo,Colombia,82.4,2024-01-25,Total,5.4,1024.0,0.8,2024-12-19 12:01:19,2024-12-19 12:01:19,9.5,9.5
144,El Poblado,Colombia,72.5,2024-01-26,Total,0.6,1008.6,12.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.1999999999999993,-0.1999999999999993
145,Aranjuez,Colombia,77.53999999999999,2024-01-30,Total,7.3,1021.6,1.2,2024-12-19 12:01:19,2024-12-19 12:01:19,6.199999999999999,6.199999999999999
146,Castilla,Colombia,89.06,2024-01-31,Total,0.2,1015.2,10.9,2024-12-19 12:01:19,2024-12-19 12:01:19,6.699999999999999,6.699999999999999
147,Belen,Colombia,59.72,2024-01-16,Total,3.1,1008.3,14.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-12.499999999999998,-12.499999999999998
148,Belen,Colombia,68.72,2024-02-01,Total,3.2,1014.6,10.3,2024-12-19 12:01:19,2024-12-19 12:01:19,-11.899999999999999,-11.899999999999999
149,Aranjuez,Colombia,77.36,2024-01-19,Total,1.8,1023.8,1.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-8.7,-8.7
150,Aranjuez,Colombia,73.4,2024-02-02,Total,6.8,1022.8,12.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-6.100000000000001,-6.100000000000001
151,Aranjuez,Colombia,67.28,2024-02-03,Total,10.4,1008.9,11.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.799999999999997,-2.799999999999997
152,Aranjuez,Colombia,73.94,2024-02-04,Total,0.9,1020.3,2.2,2024-12-19 12:01:19,2024-12-19 12:01:19,6.0,6.0
153,Buenos Aires,Colombia,67.46000000000001,2024-01-27,Total,3.2,1017.2,8.2,2024-12-19 12:01:19,2024-12-19 12:01:19,1.3999999999999986,1.3999999999999986
154,Robledo,Colombia,60.8,2024-01-17,Total,3.1,1015.9,8.7,2024-12-19 12:01:19,2024-12-19 12:01:19,-10.7,-10.7
155,Belen,Colombia,65.84,2024-01-18,Total,4.6,1022.3,0.7,2024-12-19 12:01:19,2024-12-19 12:01:19,1.6000000000000014,1.6000000000000014
156,Laureles,Colombia,73.75999999999999,2024-02-05,Total,3.4,1020.9,0.5,2024-12-19 12:01:19,2024-12-19 12:01:19,-10.7,-10.7
157,Aranjuez,Colombia,94.63999999999999,2024-01-22,Total,8.9,1005.4,11.6,2024-12-19 12:01:19,2024-12-19 12:01:19,10.699999999999996,10.699999999999996
158,Aranjuez,Colombia,78.44,2024-01-28,Total,1.2,1020.0,2.7,2024-12-19 12:01:19,2024-12-19 12:01:19,-1.8000000000000007,-1.8000000000000007
159,Robledo,Colombia,86.18,2024-01-23,Total,8.3,1006.5,14.4,2024-12-19 12:01:19,2024-12-19 12:01:19,1.8000000000000007,1.8000000000000007
160,Robledo,Colombia,83.48,2024-01-29,Mínima,6.0,1003.7,4.6,2024-12-19 12:01:19,2024-12-19 12:01:19,10.600000000000001,10.600000000000001
161,Laureles,Colombia,66.74000000000001,2024-01-20,Total,9.6,1007.8,6.1,2024-12-19 12:01:19,2024-12-19 12:01:19,-2.8000000000000007,-2.8000000000000007
162,Castilla,Colombia,79.7,2024-01-21,Total,5.7,1013.9,10.2,2024-12-19 12:01:19,2024-12-19 12:01:19,6.399999999999999,6.399999999999999
163,El Poblado,Colombia,64.4,2024-01-18,Total,1.0,1008.1,9.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-16.200000000000003,-16.200000000000003
164,El Poblado,Colombia,59.0,2024-01-24,Total,6.2,1016.0,3.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-12.5,-12.5
165,Robledo,Colombia,74.12,2024-01-25,Total,10.0,1000.6,12.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-4.600000000000001,-4.600000000000001
166,Robledo,Colombia,81.14,2024-02-06,Total,9.0,1017.9,3.0,2024-12-19 12:01:19,2024-12-19 12:01:19,0.8000000000000007,0.8000000000000007
167,Belen,Colombia,64.03999999999999,2024-01-30,Total,1.2,1011.1,0.4,2024-12-19 12:01:19,2024-12-19 12:01:19,-15.2,-15.2
168,Buenos Aires,Colombia,82.4,2024-01-19,Total,2.8,1018.8,13.5,2024-12-19 12:01:19,2024-12-19 12:01:19,6.399999999999999,6.399999999999999
